               ,ESCUELA PREPARATORIA NUM. 3\\ TURNO MATUTINO                                     ,24,SAN LUIS POTOSI,aaa,,
01PBH0049J     ,COLEGIO CRISTOBAL COLON                                                         ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0050Z     ,INSTITUTO ANITA BRENNER                                                         ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0052X     ,CENTRO ESTUDIOS SUPERIORES DE AGUASCALIENTES\\ A. C.                             ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0053W     ,PREPARATORIA BACHILLERES DE AGUASCALIENTES                                      ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0054V     ,COLEGIO PASCAL\\ A.C.                                                            ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0055U     ,INSTITUTO VICTOR MANUEL CASTELAZO MURIEL                                        ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0056T     ,PREPARATORIA JOSE MA. MORELOS Y PAVON                                           ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0057S     ,COLEGIO ESPERANZA                                                               ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0059Q     ,INSTITUTO RENACIMIENTO DE AGUASCALIENTES\\ A.C.                                  ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0060F     ,CENTRO ESCOLAR TRIANA                                                           ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0063C     ,INSTITUTO TECNOLOGICO DE ESTUDIOS SUPERIORES DE MONTERREY CAMPUS AGUASCALIIENTES,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0066Z     ,CENTRO EDUCATIVO ASUNCION                                                       ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0067Z     ,COLEGIO RAMON LOPEZ VELARDE                                                     ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0070M     ,BACHILLERATO NUEVO MILENIO                                                      ,1,PABELLON DE ARTEAGA,PABELLON DE ARTEAGA,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0071L     ,CENTRO DE ENSEÑANZA FRANCISCO I. MADERO\\ A.C.                                   ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0072K     ,COLEGIO LINCOLN\\ A.C.                                                           ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0073J     ,PREPARATORIA LA CONCORDIA                                                       ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0074I     ,CENTRO EDUCATIVO JOSE VASCONCELOS                                               ,1,JESUS MARIA,PASO BLANCO,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0075H     ,PREPARATORIA DE ESTUDIOS AVANZADOS                                              ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH0076G     ,SISTEMAS INTEGRALES DE PREPARATORIA                                             ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
01PBH0077F     ,COLEGIO DEL ARTE Y LAS CIENCIAS                                                 ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH3256L     ,PREPARATORIA UNIVERSITARIA CUAUHTEMOC\\ PLANTEL AGS.                             ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH3291R     ,CULTURA DELTA AGS. S.C. Y/O INSTITUTO CUMBRES DE AGUASCALIENTES                 ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
01PBH3292Q     ,INSTITUTO MEXICO INTERNACIONAL\\ A.C.                                            ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO GENERAL SEMIESCOLARIZADO,PARTICULAR
